mytype,material,link,value
đủ,bột chiên giòn,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,vừa
đủ,bột chiên xù,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,vừa
đủ,hạt nêm,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,vừa
g,bột bắp,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,12
g,thịt đùi,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,500
g,bì,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,150 - 180
muỗng,Tỏi,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,5
trái,Ớt,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,10-20
,Thính,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,
,Tiêu,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,
miếng,đậu phụ,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
lát,thịt xông khói,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,3
cái,nấm mỡ,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,2
g,tinh bột ngô,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,40
g,muối,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,2.5
quả,cà chua,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
ít,hạt tiêu,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
g,sốt cà chua,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,30-45
lá,húng quế,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,2-4
chén,phô mai mozzarella,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
lá,rau mùi tây,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,vài
lạng,Thịt ba chỉ,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,3
lạng,Giá đỗ,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,2
mớ,Kinh giới,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,1
,Bột nêm,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
,mirin,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
,Hạt tiêu,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
,Xốt chua ngọt,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
g,khoai môn,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,200
g,hạt sen,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,50
M,cà rốt,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,1
g,giò sống,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,100
M,hành lá,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,1
